"Repair Box","Tracking Number From","Shipped From Date","Building","Box Type","Shipping Box Status","Created By","Created Date","Last Modified Date"
"11450","1Z6X34470302961898","09-23-2024 22:05:45","Building Two","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-23-2024 22:05:45"
"11449","1Z6X34470331997555","09-19-2024 20:57:36","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-23-2024 22:02:55"
"11448","1Z6X34470328616865","09-19-2024 12:37:11","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-19-2024 12:37:11"
"11447","1Z6X34470306628876","09-19-2024 12:30:07","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-19-2024 12:30:07"
"11446","1Z6X34470321034452","09-19-2024 12:09:58","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-19-2024 12:09:58"
"11445","1Z6X34470330941517","09-18-2024 21:34:00","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-18-2024 21:34:00"
"11444","1Z6X34470300862098","09-18-2024 21:27:58","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-18-2024 21:27:58"
"11443","1Z6X34470307449040","09-18-2024 20:14:27","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-18-2024 20:14:27"
"11442","1Z6X34470329069900","09-18-2024 16:05:23","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-18-2024 16:05:23"
"11441","1Z6X34470333434695","09-18-2024 15:59:12","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-18-2024 15:59:12"
"11440","1Z6X34470329175876","09-16-2024 19:25:10","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-16-2024 19:25:10"
"11439","1Z6X34470328434829","09-16-2024 19:17:01","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-16-2024 19:17:01"
"11438","1Z6X34470300067126","09-16-2024 18:54:28","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-16-2024 18:54:28"
"11437","1Z6X34470317728890","09-16-2024 17:25:41","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-16-2024 17:25:41"
"11436","1Z6X34470327187474","09-13-2024 21:31:45","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-13-2024 21:31:45"
"11435","1Z6X34470325914860","09-13-2024 21:00:58","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-13-2024 21:00:58"
"11434","1Z6X34470331972456","09-13-2024 20:52:13","Dream Building","To Vivacity","Not Shipped","demo_repairtech@vivacitytech.com","N/A","09-13-2024 20:52:13"
"11433","1Z6X34470336796245","09-13-2024 20:48:31","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-13-2024 20:48:31"
"11432","1Z6X34470339889649","09-12-2024 11:04:40","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-12-2024 11:04:40"
"11431","1Z6X34470339808968","09-11-2024 21:24:27","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-11-2024 21:24:27"
"11430","1Z6X34470329087435","09-05-2024 11:42:03","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-05-2024 11:42:03"
"11429","1Z6X34470318935173","09-05-2024 10:55:41","Dream Building","To Vivacity","Not Shipped","demo_adminsuper@vivacitytech.com","N/A","09-05-2024 10:55:41"
"11330","1Z6X34470323536620","09-03-2024 20:51:30","Humphrey High","To Vivacity","Not Shipped","demo_adminvivacity@vivacitytech.com","N/A","09-03-2024 20:51:30"
"11050","1Z6X34470326711096","08-23-2024 21:39:23","Dream Building","To Vivacity","Not Shipped","Afeefa Zaman","N/A","09-04-2024 14:30:42"
"10828","1Z6X34470318440895","08-13-2024 23:39:18","GVL","To Vivacity","Not Shipped","Maleja Duque","N/A","09-04-2024 14:30:42"
