"Name","Provider","SKU","Type"
"Lenovo 4 Year Depot and ADP Basic School Year Term (5PS1A16642)","Lenovo","5PS1A16642","Advanced"
"Manufacturer 10-Year Base Limited Warranty","Manufacturer","10YRLTDWAR","Advanced"
"HP 4-Year Extended Warranty (HP-EXT-4)","HP","HP-EXT-4","Advanced"
"","Lenovo","TEST-WARRANTY","Vendor"
"1 Year Acer Extended Warranty (146.EE406.004)","Acer","146.EE406.004","Advanced"
"Lenovo 4-Year ADP Warranty (5PS1H95233)","Lenovo","5PS1H95233","Advanced"
"Manufacturer 1-Year Base Limited Warranty","Manufacturer","1YRLTDWAR","Base"
"Lenovo Premier Support Plus Upgrade - 3 Year Warranty (5WS1L39490)","Lenovo","5WS1L39490","Advanced"
"HP 3-Year Extended Warranty (HP-EXT-3)","HP","HP-EXT-3","Advanced"
"HP 4-Year Care Pack Active Care Service (U17XSE)","HP","U17XSE","Advanced"
"HP 4-Year Care Pack Extended Warranty (U9DQ4E)","HP","U9DQ4E","Advanced"
"Vivacity Tech 3-Year Extended Warranty - Limited (VT3YRWAR)","Vivacity Tech","VT3YRWAR","Advanced"
"Lenovo 3-Year Depot Extended Warranty + ADP Unlimited (5PS0N75610)","Lenovo","5PS0N75610","Advanced"
"Acer 2 Year Extension of Limited Warranty (146.EE406.002)","Acer","146.EE406.002","Advanced"
"Acer 3 Year Extension of Limited Warranty (146.EE406.005)","Acer","146.EE406.005","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12CASECHR400AD48D)","Safeware","K12CASECHR400AD48D","Advanced"
"Safeware 2-Year Extended Warranty + ADP Limited (K12CASECHR300AD24D)","Safeware","K12CASECHR300AD24D","Advanced"
"Vivacity Tech 2-Year Empower Warranty [Touchscreen] (VT2YR-EMP-TS)","Vivacity Tech","VT2YR-EMP-TS","Advanced"
"Lenovo -Year 6 Month Depot Warranty (5WS0Z77262)","Lenovo","5WS0Z77262","Advanced"
"HP 5-Year Next Business Day ONS DT HW Supp (U7925E)","HP","U7925E","Advanced"
"Lenovo 3-Year Depot Extended Warranty Unlimited (5WS0Q81869)","Lenovo","5WS0Q81869","Advanced"
"Safeware 4-Year Case Premium Chromebook Plan + ADP Unlimited (FFCASECHR300UCAD48D)","Safeware","FFCASECHR300UCAD48D","Advanced"
"Vivacity Tech 3-Year Empower Warranty [Touchscreen] (VT3YR-EMP-TS)","Vivacity Tech","VT3YR-EMP-TS","Advanced"
"Dell 3-Year Accidental Damage Protection (973-9814)","Dell","973-9814","Advanced"
"Lenovo 4-Year Depot Extended Warranty Unlimited (5WS0A23756)","Lenovo","5WS0A23756","Advanced"
"Samsung 4-Year ProCare Extended Warranty + ADP Unlimited (P-NP-3HXXL00)","Samsung","P-NP-3HXXL00","Advanced"
"Vivacity Tech 3-Year Extended Warranty + ADP + Battery - Limited (VT3YRWAR-BAT)","Vivacity Tech","VT3YRWAR-BAT","Advanced"
"Worth Ave Group 3-Year Depot Extended Warranty + ADP Unlimited (WRT3YR-DEPOT-T2-UNLADP)","Worth Ave Group","WRT3YR-DEPOT-T2-UNLADP","Advanced"
"Manufacturer 2-Year Base Limited Warranty","Manufacturer","2YRLTDWAR","Base"
"Vivacity Tech 1-Year Empower Plus Warranty (Non-Touch) (VT1YR-EMPLUS-NT)","Vivacity Tech","VT1YR-EMPLUS-NT","Advanced"
"Vivacity Tech 4-Year Empower Warranty [Touchscreen] (VT4YR-EMP-TS)","Vivacity Tech","VT4YR-EMP-TS","Advanced"
"Lenovo 3-Year Depot + ADP One (5PS0Z44683)","Lenovo","5PS0Z44683","Advanced"
"3 Year HP Care Pack ADP Warranty","HP","U61A4E","Advanced"
"Vivacity Tech 4-Year Empower Warranty + ADP [Non-Touch] (VT4YR-EMPADP-NT)","Vivacity Tech","VT4YR-EMPADP-NT","Advanced"
"Vivacity Tech 3-Year Empower Warranty + ADP [Touchscreen] (VT3YR-EMPADP-TS)","Vivacity Tech","VT3YR-EMPADP-TS","Advanced"
"Lenovo 3-Year Extended Warranty + ADP Unlimited (5PS0Q81868)","Lenovo","5PS0Q81868","Advanced"
"Vivacity Tech 3-Year Empower Warranty + ADP [Non-Touch] (VT3YR-EMPADP-NT)","Vivacity Tech","VT3YR-EMPADP-NT","Advanced"
"Vivacity Tech 2-Year Empower Warranty + ADP [Non-Touch] (VT2YR-EMPADP-NT)","Vivacity Tech","VT2YR-EMPADP-NT","Advanced"
"Vivacity Tech 4-Year Extended Warranty + ADP Limited (VT4YRADP)","Vivacity Tech","VT4YRADP","Advanced"
"Vivacity Tech 1-Year Extended Warranty + ADP Limited (VT1YRADP)","Vivacity Tech","VT1YRADP","Advanced"
"Worth Ave Group 2-Year Extended Warranty - Unlimited (WRT-EXT2)","Worth Ave Group","WRT-EXT2","Advanced"
"Vivacity Tech 3-Year Extended Warranty + ADP Unlimited (VT3YRADP-SFW)","Vivacity Tech","VT3YRADP-SFW","Advanced"
"4-Year Depot Extended Warranty + ADP Unlimited","Worth Ave Group","WRT4YR-DEPOT-T2-UNLADP","Advanced"
"Lenovo 2-Year Depot Extended Service Agreement (5WS0Q81880)","Lenovo","5WS0Q81880","Advanced"
"Safeware 3-Year Extended Warranty + ADP Limited (K12CASECHR300AD36D)","Safeware","K12CASECHR300AD36D","Advanced"
"Vivacity Tech 4-Year Extended Warranty + ADP Unlimited (VT4YRADP-UNL)","Vivacity Tech","VT4YRADP-UNL","Advanced"
"Safeware 1-Year Extended Warranty + ADP Limited (VARCHM400ESP12EXT)","Safeware","VARCHM400ESP12EXT","Advanced"
"Safeware 2-Year Extended Warranty + ADP Limited (K12CASECHR100AD24D)","Safeware","K12CASECHR100AD24D","Advanced"
"Lenovo 5 Year Premier Support with Onsite Next Business Day Warranty","Lenovo","5WS0V07824","Advanced"
"2 Year Limited Warranty Extension and 3 Year ADP (W2.WN1AA.401)","Acer","W2.WN1AA.401","Advanced"
"3 Year HP Care Pack Hardware Support with ADP (U05LRE)","HP","U05LRE","Advanced"
"Vivacity Tech 3-Year Empower Plus Warranty (Touchscreen) (VT3YR-EMPLUS-TS)","Vivacity Tech","VT3YR-EMPLUS-TS","Advanced"
"Vivacity Tech 4-Year Empower Plus Warranty (Non-Touch) (VT4YR-EMPLUS-NT)","Vivacity Tech","VT4YR-EMPLUS-NT","Advanced"
"ASUS 4-Year Extended Warranty (ACX15-010100NX)","ASUS","ACX15-010100NX","Advanced"
"Lenovo 4-Year Accidental Damage Protection Add-On (5PS0F04090)","Lenovo","5PS0F04090","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12CASECHR100AD48D)","Safeware","K12CASECHR100AD48D","Advanced"
"Safeware 2-Year Extended Warranty + ADP Limited (K12CASECHR200AD24D)","Safeware","K12CASECHR200AD24D","Advanced"
"Acer 3 Year Extension of Limited and 4 Year ADP Warranty","Acer","W2.WN1AA.379","Advanced"
"3-Year HP Care Pack","HP","UK712E","Advanced"
"3-Year HP Care Pack Essential Offsite Support with ADP Warranty (U85GFE)","HP","U85GFE","Advanced"
"2 Year Limited Warranty Extension and 3 Year ADP (W2.WN1AA.403)","Acer","W2.WN1AA.403","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12LAP750AD48D)","Safeware","K12LAP750AD48D","Advanced"
"Vivacity Tech 2-Year Empower Plus Warranty (Non-Touch) (VT2YR-EMPLUS-NT)","Vivacity Tech","VT2YR-EMPLUS-NT","Advanced"
"Vivacity Tech 2-Year Empower Plus Warranty (Touchscreen) (VT2YR-EMPLUS-TS)","Vivacity Tech","VT2YR-EMPLUS-TS","Advanced"
"Lenovo 3-Year Extended Service Warranty (5WS0Q11134)","Lenovo","5WS0Q11134","Advanced"
"Vivacity Tech 2-Year Empower Warranty + ADP [Touchscreen] (VT2YR-EMPADP-TS)","Vivacity Tech","VT2YR-EMPADP-TS","Advanced"
"Vivacity Tech 3-Year Empower Warranty [Non-Touch] (VT3YR-EMP-NT)","Vivacity Tech","VT3YR-EMP-NT","Advanced"
"Worth Ave Group 1-Year Extended Warranty - Unlimited (WRT-EXT1)","Worth Ave Group","WRT-EXT1","Advanced"
"Worth Ave Group 4-Year Extended Warranty - Unlimited (WRT-EXT4)","Worth Ave Group","WRT-EXT4","Advanced"
"Vivacity Tech 4-Year Empower Plus Warranty (Touchscreen) (VT4YR-EMPLUS-TS)","Vivacity Tech","VT4YR-EMPLUS-TS","Advanced"
"Acer 3 Year Extension of Limited and 4 Year ADP Warranty","Acer","W2.WN1AA.153","Advanced"
"Acer 3 Year Extended Warranty (W2.WN1AA.193)","Acer","W2.WN1AA.193","Advanced"
"Vivacity Tech 1-Year Empower Warranty + ADP [Touchscreen] (VT1YR-EMPADP-TS)","Vivacity Tech","VT1YR-EMPADP-TS","Advanced"
"Tech Defenders 1-Year Unlimited ADP Warranty (TD-1YR-ULTD)","Tech Defenders","TD-1YR-ULTD","Advanced"
"Lenovo 3-Year Extended Warranty + ADP Unlimited (5PS0Q25583)","Lenovo","5PS0Q25583","Advanced"
"Vivacity Tech 1-Year Breakage Contract","Vivacity Tech","VT-BRK-K","Advanced"
"Vivacity Tech 5-Year Extended Warranty + ADP Limited (VT5YRADP)","Vivacity Tech","VT5YRADP","Advanced"
"Lenovo 4-Year Depot Extended Warranty Unlimited (5WS0N75564)","Lenovo","5WS0N75564","Advanced"
"Acer 3-Year Extended Warranty (W2.WN1AA.124)","Acer","W2.WN1AA.124","Advanced"
"Vivacity Tech 2-Year Empower Warranty [Non-Touch] (VT2YR-EMP-NT)","Vivacity Tech","VT2YR-EMP-NT","Advanced"
"Vivacity Tech 1-Year Empower Warranty + ADP [Non-Touch] (VT1YR-EMPADP-NT)","Vivacity Tech","VT1YR-EMPADP-NT","Advanced"
"Vivacity Tech 4-Year Empower Warranty + ADP [Touchscreen] (VT4YR-EMPADP-TS)","Vivacity Tech","VT4YR-EMPADP-TS","Advanced"
"3 Year HPE Care Pack Pick-Up and Return Service with ADP","HP","UA6K9E","Advanced"
"Vivacity Tech 1-Year Empower Plus Warranty (Touchscreen) (VT1YR-EMPLUS-TS)","Vivacity Tech","VT1YR-EMPLUS-TS","Advanced"
"Vivacity Tech 5-Year Empower Warranty + ADP [Touchscreen] (VT5YR-EMPADP-T)","Vivacity Tech","VT5YR-EMPADP-T","Advanced"
"HP 3-Year Pickup & Return Warranty (UQ990E)","HP","UQ990E","Advanced"
"Tech Defenders 4-Year Extended Warranty + ADP (TDSERV4)","Tech Defenders","TDSERV4","Advanced"
"Vivacity Tech 4-Year Empower Warranty [Non-Touch] (VT4YR-EMP-NT)","Vivacity Tech","VT4YR-EMP-NT","Advanced"
"Safeware 3-Year Extended Warranty + ADP Limited (K12CASECHR100AD36D)","Safeware","K12CASECHR100AD36D","Advanced"
"Vivacity Tech 2-Year Extended Warranty + ADP Unlimited (VT2YRADP-SFW)","Vivacity Tech","VT2YRADP-SFW","Advanced"
"Acer 1 Year Extension of Limited & 3 Year Total Notebook Protection","Acer","146.EE362.008","Advanced"
"Asus 3 Year Extended Warranty","ASUS","ACX14-012710NX","Advanced"
"Vivacity Tech 3-Year Empower Plus Warranty (Non-Touch) (VT3YR-EMPLUS-NT)","Vivacity Tech","VT3YR-EMPLUS-NT","Advanced"
"Lenovo 3-Year Depot Extended Warranty + ADP Protection (5PS1A16646)","Lenovo","5PS1A16646","Advanced"
"Vivacity Tech 1-Year Limited Warranty","Vivacity Tech","VT1YRLTDWAR","Base"
"Tech Defenders 3-Year Extended Warranty + ADP (TDSERV3)","Tech Defenders","TDSERV3","Advanced"
"Safeware 3-Year Extended Warranty + ADP Limited (K12CASECHR400AD36D)","Safeware","K12CASECHR400AD36D","Advanced"
"Manufacturer 4-Year Base Limited Warranty","Manufacturer","4YRLTDWAR","Advanced"
"Tech Defenders 3-Year Extended Warranty (TDEXT-3)","Tech Defenders","TDEXT-3","Advanced"
"Tech Defenders 1-Year Optional/Unlimited ADP Warranty (TD-1YR-OPTULTD)","Tech Defenders","TD-1YR-OPTULTD","Advanced"
"Vivacity Tech 5-Year Empower Plus Warranty (Non-Touch) (VT5YR-EMPLUS-NT)","Vivacity Tech","VT5YR-EMPLUS-NT","Advanced"
"HP 3-Year Pick-Up and Return Care Pack (U4395E)","HP","U4395E","Advanced"
"Worth Ave Group 4-Year Extended Warranty + ADP Unlimited (WRT4YR-T2-UNLADP)","Worth Ave Group","WRT4YR-T2-UNLADP","Advanced"
"Worth Ave Group 1-Year Extended Warranty + ADP Unlimited (WRT1YR-T2-UNLADP)","Worth Ave Group","WRT1YR-T2-UNLADP","Advanced"
"Worth Ave Group 1-Year Extended Warranty + ADP (WRT1YR-T3-ADP)","Worth Ave Group","WRT1YR-T3-ADP","Advanced"
"Manufacturer 5-Year Base Limited Warranty","Manufacturer","5YRLTDWAR","Advanced"
"Manufacturer 3-Year Base Limited Warranty (3YRLTDWAR)","Manufacturer","3YRLTDWAR","Base"
"Vivacity Tech 1-Year Parts & Labor Limited Warranty","Vivacity Tech","VT1YRPARLAB","Base"
"Vivacity Tech 4-Year Extended Warranty + ADP Unlimited (VT4YRADP-SFW)","Vivacity Tech","VT4YRADP-SFW","Advanced"
"HP 3-Year NBD Onsite Extended Warranty (UL657E)","HP","UL657E","Advanced"
"Safeware 4-Year Extended Warranty + ADP Limited (K12CASECHR200AD48D)","Safeware","K12CASECHR200AD48D","Advanced"
"Worth Ave Group 3-Year Extended Warranty + ADP Unlimited (WRT3YR-T2-UNLADP)","Worth Ave Group","WRT3YR-T2-UNLADP","Advanced"
"Lenovo 3-Year Limited Warranty (LNV-EXT-42)","Lenovo","LNV-EXT-42","Advanced"
"Dell 3-Year ProSupport Plus Extended Warranty (808-3211)","Dell","808-3211","Advanced"
"Safeware 3-Year Extended Warranty + ADP Limited (K12CASECHR500AD36D)","Safeware","K12CASECHR500AD36D","Advanced"
"Worth Ave Group 2-Year Extended Warranty + ADP Unlimited (WRT2YR-T2-UNLADP)","Worth Ave Group","WRT2YR-T2-UNLADP","Vendor"
"Worth Ave Group 2-Year Extended Warranty + ADP Unlimited (WRT2YR-T2-UNLADP)","Worth Ave Group","WRT2YR-T2-UNLADP","Vendor"
"Acer 3-Year Extended Warranty + ADP Limited (W2.WN1AA.260)","Acer","W2.WN1AA.260","Advanced"
"Lenovo 3-Year Advanced Exchange Extended Warranty + ADP Unlimited (5PS0N87366)","Lenovo","5PS0N87366","Advanced"
"Vivacity Tech 4-Year Extended Warranty - Limited (VT4YRWAR)","Vivacity Tech","VT4YRWAR","Advanced"
"Vivacity Tech 2-Year Extended Warranty - Limited (VT2YRWAR)","Vivacity Tech","VT2YRWAR","Advanced"
