"Device Name","Device Model","Quantity in Fleet","SKU","Buyback Price","Total Value"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","1234Ab6","82","abcdefg","Unknown","Unknown"
"HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","11AG8EE","73","2D608UT","Unknown","Unknown"
"HP Chromebook 11A G8 EE - AMD/4GB/32GB - Non-Touch","G8EE","43","16W64UT","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","CA023NR","35","4BS38UAR","Unknown","Unknown"
"Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","3100","29","TC6KM","Unknown","Unknown"
"Lenovo IdeaPad 3 Chromebook - Intel/4GB/32GB - Non-Touch","IDEAPAD3","26","82BA0000US","Unknown","Unknown"
"VT Chromebook","Generic Chromebook","21","VT-Generic","Unknown","Unknown"
"Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","3100","17","G4YY1","Unknown","Unknown"
"HP Chromebook 11A G8 EE - AMD/4GB/32GB - Non-Touch","G8EE","12","16W64UTR","Unknown","Unknown"
"Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","DEMOCBK","10","DEMO-CBK","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","qQVPHyBgEN","8","C45rrr|y&C","Unknown","Unknown"
"Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","C14 G1","7","21CAS0S900-SMB","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","O/YcLQrj1D","7",":4ZNi;u$Nl","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","CA023NR","6","4BS38UA","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","xu<-je2r<k","6","!YMl0d`<R%","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","K$<7ec9P%X","4","0J%^a^LO8V","Unknown","Unknown"
"Unidentified Device","Unidentified","4","VT-Unidentified","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","L,#IOO`/>K","3","u>/bi8/=wJ","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","_e[i95O]1+","3","6Rg%^''G[0","Unknown","Unknown"
"HP Elite DragonFly Chromebook - Intel/16GB/128GB - Touch/2in1","DFLY","2","6H5F9UTR","Unknown","Unknown"
"Asus Chromebook 11 C201PA-DS01 - Rockchip/2GB/16GB - Non-Touch","C201PA","2","C201PA-DS01","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","m.#x8:DLM^","2","esF-eD_XU\","Unknown","Unknown"
"HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","/CFT#:qLXl","2","kzB""?*1v,a","Unknown","Unknown"
"Acer Chromebook 13 CB5-312T-K6TF - MediaTek/4GB/32GB - Touch/2in1","CB5","1","NX.GL4AA.010","Unknown","Unknown"
"HP Chromebook 14 ca070nr - Intel/4GB/32GB - Touch","ca070nr","1","3GY52UA","Unknown","Unknown"
"HP Chromebook 11 G8 EE - Intel/4GB/32GB - Non-Touch","G8EE","1","1A762UT","Unknown","Unknown"
"HP Chromebook 11 G8 EE - Intel/8GB/64GB - 11in/Non-Touch","G8EE","1","1A765UTR-45","Unknown","Unknown"
"HP Pro c640 Chromebook - Intel i3-10110U/8GB/64GB - Touch","c640","1","1W2L5UT","Unknown","Unknown"
"HP Chromebook 11MK G9 EE - MediaTek/4GB/32GB - Non-Touch","11MKG9EE","1","436B7UT","Unknown","Unknown"
"Apple iPad 9th Gen - Apple/32GB - Touch","A2602","1","MK2Y3LL/A","Unknown","Unknown"
"Lenovo Legion Tower 5 Desktop - Intel/16GB/1TB","LegionT5","1","90RS002BUS","Unknown","Unknown"
"HP 645 EliteBook G10 Notebook - AMD Ryzen 5 7530U/16GB/256GB - Non-Touch - New","645G10","1","75C13AV-51874064","Unknown","Unknown"
"HP EliteBook x360 1030 G3 Notebook - Intel/16GB/256GB - 13in/Touch/2in1","x360G3","1","3TU44AV","Unknown","Unknown"
"Lenovo 14e Chromebook Gen2 - AMD/8GB/64GB - Touch","14EG2","1","82M1000JUS","Unknown","Unknown"
"Acer Chromebook 11 N7 C731T-C42N - Intel/4GB/16GB - Touch","11N7","1","NX.GM9AA.001","Unknown","Unknown"
"Lenovo Legion T730-28ICO Gaming Desktop - Intel/32GB/1TB+512GB","T730","1","90JF00A4US","Unknown","Unknown"
"Lenovo Legion T730-28ICO Gaming Desktop - Intel/32GB/3TB","T730","1","90JF00M1US","Unknown","Unknown"
"Acer Chromebook Tab 10 D651N-K9WT - Rockchip/4GB/32GB - Touch","TAB10","1","NX.H0BAA.001","Unknown","Unknown"
"Vivacity Tech Test Chromebook - Intel/4GB/16GB - Non-Touch/2in1/WFC/LTE","TESTCBK","1","TEST-CBK","Unknown","Unknown"
"Lenovo ThinkPad 11e 3rd Gen Yoga Chromebook - Intel N3150/4GB/16GB - Touch/2in1","11eG3","1","20GE0002US","Unknown","Unknown"
"HP Chromebook 14 G5 - Intel/4GB/16GB - Touch","G5","1","3PD95UT","Unknown","Unknown"
"HP Chromebook 11 G6 EE - Intel/4GB/16GB - Touch","G6EE","1","3PD93UT","Unknown","Unknown"
