"record_id","ticket_number","repair_type","serial_number","repair_device","asset_tag","repair_status","repair_box","created_by"
"19907","V0019907","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","248","demo_adminsuper@vivacitytech.com"
"19906","V0019906","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","247","demo_adminsuper@vivacitytech.com"
"19905","V0019905","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","249","demo_adminsuper@vivacitytech.com"
"19904","V0019904","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","248","demo_adminsuper@vivacitytech.com"
"19903","V0019903","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","250","demo_adminsuper@vivacitytech.com"
"19900","V0019900","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","249","demo_adminsuper@vivacitytech.com"
"19895","V0019895","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","247","demo_adminsuper@vivacitytech.com"
"19888","V0019888","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","246","demo_adminsuper@vivacitytech.com"
"19885","V0019885","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","245","demo_adminsuper@vivacitytech.com"
"19878","V0019878","Vivacity","VIVATEST12Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch - New","","In Transit","244","demo_adminsuper@vivacitytech.com"
